,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
409,CREATIVEYE,EQ,6.1,6.2,6.1,6.2,6.2,6.1,6690,40864.0,12-SEP-2022,15,INE230B01021
410,CREDITACC,EQ,1035.0,1050.6,1025.45,1044.05,1042.75,1029.7,182124,189681370.1,12-SEP-2022,10829,INE741K01010
411,CREST,EQ,185.9,185.9,177.0,179.2,178.1,181.5,37816,6885830.05,12-SEP-2022,340,INE559D01011
412,CRISIL,EQ,3219.75,3239.75,3180.0,3190.75,3190.0,3203.7,68213,218301864.1,12-SEP-2022,6134,INE007A01025
413,CROMPTON,EQ,417.3,423.75,417.0,421.55,422.0,417.15,1087090,457664234.95,12-SEP-2022,24061,INE299U01018
415,CSBBANK,EQ,224.85,226.2,221.75,224.8,225.25,222.2,268648,60358920.15,12-SEP-2022,3803,INE679A01013
416,CSLFINANCE,EQ,252.05,257.05,242.05,248.25,253.0,248.25,52968,13191492.65,12-SEP-2022,596,INE718F01018
417,CTE,EQ,77.9,77.9,73.5,74.45,73.7,73.25,110403,8334715.65,12-SEP-2022,1562,INE627H01017
418,CUB,EQ,179.75,185.0,179.0,183.55,184.65,178.55,2076596,377892884.2,12-SEP-2022,14020,INE491A01021
419,CUBEXTUB,EQ,30.55,32.0,30.0,30.3,30.65,30.3,36962,1126239.45,12-SEP-2022,467,INE144D01012
420,CUMMINSIND,EQ,1215.0,1233.15,1214.0,1220.95,1226.9,1219.9,258428,316346893.45,12-SEP-2022,9596,INE298A01020
421,CUPID,EQ,232.7,237.25,232.1,234.45,234.85,231.8,28338,6664015.4,12-SEP-2022,1159,INE509F01011
422,CYBERMEDIA,EQ,16.25,16.25,15.5,15.95,16.0,16.0,20162,322011.05,12-SEP-2022,140,INE278G01037
423,CYBERTECH,EQ,163.1,164.9,161.25,161.6,161.45,162.65,83401,13593387.55,12-SEP-2022,1540,INE214A01019
424,CYIENT,EQ,865.2,879.8,864.0,871.3,874.75,856.3,205141,178945874.35,12-SEP-2022,13375,INE136B01020
425,DAAWAT,EQ,89.0,91.8,89.0,91.55,91.35,88.95,1949831,176826492.2,12-SEP-2022,8976,INE818H01020
426,DABUR,EQ,574.9,578.6,568.55,570.4,570.5,574.9,835551,478183716.25,12-SEP-2022,21465,INE016A01026
427,DALBHARAT,EQ,1660.25,1699.0,1650.3,1692.65,1691.0,1660.25,361721,609252161.9,12-SEP-2022,16388,INE00R701025
428,DALMIASUG,EQ,353.05,362.4,353.0,354.45,355.6,352.8,102812,36622692.35,12-SEP-2022,4935,INE495A01022
429,DAMODARIND,EQ,56.35,56.85,54.25,54.7,54.5,55.9,9205,509948.55,12-SEP-2022,180,INE497D01022
430,DANGEE,EQ,28.5,28.5,26.0,26.8,26.85,28.1,393123,10766681.05,12-SEP-2022,1813,INE688Y01022
431,DATAMATICS,EQ,342.95,363.8,342.15,355.2,356.0,340.6,648319,231196861.6,12-SEP-2022,13821,INE365B01017
