,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
115,ANKITMETAL,EQ,8.15,8.45,8.15,8.25,8.15,8.55,865271,7092148.85,11-APR-2022,1533,INE106I01010
116,ANMOL,EQ,214.25,215.05,210.2,211.1,212.0,214.3,8859,1883685.25,11-APR-2022,336,INE02AR01019
117,ANSALAPI,EQ,16.65,16.95,16.3,16.95,16.95,16.15,277623,4666898.8,11-APR-2022,465,INE436A01026
118,ANSALHSG,EQ,8.25,8.3,8.0,8.1,8.1,8.05,126064,1019145.8,11-APR-2022,342,INE880B01015
120,ANUP,EQ,889.9,903.85,871.5,891.85,885.0,892.4,15071,13419029.65,11-APR-2022,1846,INE294Z01018
121,ANURAS,EQ,847.7,859.1,837.95,850.9,853.0,840.05,78579,66658532.05,11-APR-2022,4082,INE930P01018
122,APARINDS,EQ,669.9,696.0,666.1,669.6,670.0,667.95,59570,40515153.65,11-APR-2022,4498,INE372A01015
123,APCL,EQ,299.95,318.8,298.0,312.1,315.0,298.0,104592,32707084.95,11-APR-2022,4298,INE071F01012
124,APCOTEXIND,EQ,398.65,418.0,392.1,397.75,399.25,398.65,202947,82724173.6,11-APR-2022,10326,INE116A01032
125,APEX,EQ,312.4,318.0,308.75,313.05,313.3,311.0,90426,28253631.5,11-APR-2022,3568,INE346W01013
126,APLAPOLLO,EQ,1012.35,1072.0,1005.05,1063.25,1062.1,1004.75,1080718,1126737765.4,11-APR-2022,46479,INE702C01027
127,APLLTD,EQ,772.0,781.6,767.45,775.7,777.0,771.55,127939,99068732.85,11-APR-2022,5189,INE901L01018
128,APOLLO,EQ,146.45,156.0,144.4,152.2,152.45,145.8,260431,39370409.5,11-APR-2022,3974,INE713T01010
129,APOLLOHOSP,EQ,4607.0,4686.65,4575.5,4662.15,4670.0,4606.15,652187,3038040184.2,11-APR-2022,54517,INE437A01024
130,APOLLOPIPE,EQ,515.0,523.0,513.25,519.55,520.1,513.35,101925,52927891.15,11-APR-2022,3611,INE126J01016
131,APOLLOTYRE,EQ,203.0,204.8,200.1,201.5,201.3,202.75,2888261,583491857.4,11-APR-2022,23988,INE438A01022
132,APOLSINHOT,EQ,798.95,798.95,781.0,788.2,790.0,793.85,1540,1215328.45,11-APR-2022,185,INE451F01024
133,APTECHT,EQ,369.5,372.0,363.1,364.3,363.5,369.2,93130,34195651.7,11-APR-2022,3900,INE266F01018
134,APTUS,EQ,333.5,344.05,330.4,340.2,340.5,331.55,111148,37787955.6,11-APR-2022,8045,INE852O01025
135,ARCHIDPLY,EQ,50.0,51.0,45.6,46.9,47.0,50.15,41112,1962359.05,11-APR-2022,599,INE877I01016
136,ARCHIES,EQ,23.55,24.05,22.5,22.6,22.6,23.15,398878,9306069.4,11-APR-2022,1766,INE731A01020
137,ARENTERP,EQ,50.45,50.45,48.0,50.45,50.45,45.9,19632,978847.1,11-APR-2022,431,INE610C01014
